id,name,address,city,postal_code,stars,review_count,is_open,categories
62,"""China 8""","""5602 Tenth Line W, Unit 110""",Mississauga,L5M 5S5,3,14,1,Chinese;Thai;Food;Restaurants;Vietnamese
63,"""Mexicali Raspados""","""4865 S Pecos Rd""",Las Vegas,89121,4.5,47,1,Restaurants;Ice Cream & Frozen Yogurt;Shaved Ice;Hot Dogs;Food
64,"""Harvey's Restaurants""","""13008 Yonge St""",Richmond Hill,L4E 3S8,3.5,8,1,American (Traditional);Burgers;Restaurants;Fast Food
65,"""The Blacc Boxx""","""3011 W Lake Mead Blvd""",North Las Vegas,89032,4.5,9,1,Sandwiches;Bakeries;Food;Chicken Wings;Cafes;Restaurants;Cajun/Creole
66,"""Chipotle Mexican Grill""","""899 N Ct St""",Medina,44256,3.5,18,1,Restaurants;Mexican;Fast Food
67,"""Tootie's Place""","""6601 Las Vegas Blvd S""",Las Vegas,89119,2,3,1,Restaurants;Fast Food;Creperies
68,"""McDonald's""","""7051 South Blvd""",Charlotte,28210,1.5,5,1,Fast Food;Restaurants;Burgers
69,"""Tim Hortons""","""3310 Steeles Avenue W""",Vaughan,L4K 1A2,2,3,1,Food;Donuts;Desserts;Breakfast & Brunch;Restaurants;Coffee & Tea;Sandwiches;Bakeries
70,"""Maria's Family Restaurant""","""22578 Lake Shore Blvd""",Euclid,44123,2.5,9,1,Steakhouses;Salad;Italian;Restaurants;Breakfast & Brunch;Seafood;American (New)
71,"""Carnival World & Seafood Buffet""","""3700 W Flamingo Rd""",Las Vegas,89103,2.5,508,1,Buffets;Seafood;Restaurants
72,"""Jersey Mike's Subs""","""8440 E Washington St""",Bainbridge,44023,4.5,5,1,Sandwiches;Fast Food;Restaurants;Delis
73,"""Golden Krust Caribbean Bakery & Grill""","""440 E McCullough Dr, Ste 126""",Charlotte,28262,3,38,1,Food;Restaurants;Caribbean;Bakeries
74,"""Sierra Gold""","""6515 S Jones Blvd""",Las Vegas,89118,3.5,215,1,American (New);Restaurants;Pubs;Nightlife;Sports Bars;Bars;Food;Pizza;Breweries
75,"""Jersey Mike's Subs""","""10520 South Eastern""",Henderson,89052,3.5,33,1,Fast Food;Delis;Restaurants;Sandwiches
76,"""Wendy's""","""5961 Hurontario Street""",Mississauga,L4Z,3,4,1,Restaurants;Fast Food;Burgers
77,"""Modern Round""","""8320 W Mariners Way""",Peoria,85382,3.5,130,1,Arts & Entertainment;Virtual Reality Centers;Bars;Restaurants;Arcades;American (New);Food;Nightlife
78,"""Panera Bread""","""11490 Euclid Ave""",Cleveland,44106,2,41,1,Food;Salad;Sandwiches;Restaurants;Breakfast & Brunch;Bagels;Soup
79,"""Captain's Cap of Gastonia Number 1""","""3140 Linwood Rd""",Gastonia,28052,3,8,1,Seafood;Restaurants
80,"""The Bier Markt""","""55 City Centre Dr""",Mississauga,L5B 1M3,3,105,1,Bars;Beer;Wine & Spirits;Canadian (New);Nightlife;Food;Restaurants
81,"""Bob Evans""","""16706 Northcross Dr""",Huntersville,28078,3,24,1,Bed & Breakfast;Breakfast & Brunch;Salad;American (Traditional);Hotels & Travel;Restaurants;Comfort Food
82,"""Quiznos""","""901 S Rancho Dr""",Las Vegas,89106,3.5,17,1,Sandwiches;Fast Food;Restaurants;Delis
83,"""Raising Cane's""","""7135 S Rainbow Blvd""",Las Vegas,89118,4,264,1,Fast Food;Chicken Shop;American (Traditional);Chicken Wings;Restaurants
84,"""Del Taco""","""1811 W Craig Rd""",North Las Vegas,89032,2,21,1,Restaurants;Fast Food;Mexican
85,"""El Charro""","""582 Parliament Street""",Toronto,M4X 1P8,4.5,31,1,Restaurants;Food Stands;Street Vendors;Food;Mexican
86,"""Arcade Pizza""","""5319 Broadway Ave""",Cleveland,44127,3.5,18,1,Pizza;Fast Food;Restaurants
87,"""McDonald's""","""2701 Lawrence Avenue E""",Scarborough,M1P 2S2,3,5,1,Restaurants;Fast Food;Burgers
88,"""Pomme Frite""","""19 Rue Blainville O""",Sainte-Thérèse-de-Blainville,J7E 1X1,5,7,1,Restaurants;Burgers;Fast Food
89,"""Roberto's Taco Shop""","""7251 W Azure Dr""",Las Vegas,89130,2.5,26,1,Fast Food;Mexican;Restaurants
90,"""Roxy's Diner""","""2000 Las Vegas Blvd S""",Las Vegas,89104,3,357,1,Restaurants;Burgers;Breakfast & Brunch;Diners;Food;Desserts
91,"""Jack in the Box""","""2145 E University Dr""",Tempe,85281,2,12,1,Restaurants;Fast Food
92,"""Narula's""","""6435 Dixie Road, Suite 10""",Mississauga,L5T,3.5,15,1,Indian;Barbeque;Fast Food;Restaurants
93,"""Station Brake Cafe""","""500 Station St""",Wilmerding,15148,4,15,1,Bars;Lounges;Karaoke;Restaurants;Sandwiches;Seafood;Nightlife;American (Traditional)
94,"""Subway""","""1196 E Tropicana Ave""",Las Vegas,89119,2,4,1,Sandwiches;Restaurants;Fast Food
95,"""Panera Bread""","""9995 W Mcdowell Rd""",Avondale,85392,2.5,75,1,Bakeries;Soup;Sandwiches;Salad;Food;Restaurants
96,"""Hwy 55 Burgers Shakes & Fries""","""4435 Hwy 49 S""",Harrisburg,28075,3.5,42,1,Food;Fast Food;American (Traditional);Restaurants;Cheesesteaks;Ice Cream & Frozen Yogurt;Burgers
97,"""Palms Restaurant""","""3502 West Greenway Rd""",Phoenix,85053,5,3,1,Restaurants;Greek;Mediterranean;Food;Bakeries
98,"""Micky's Hot Dogs""","""108 W Broadway Rd""",Mesa,85210,4,115,1,Fast Food;Restaurants;Mexican;Hot Dogs
99,"""Sushi Loca""","""10965 Lavender Hill Dr""",Las Vegas,89135,3,229,1,Food;Sushi Bars;Restaurants
100,"""Wendy's""","""15170 Bagley Rd""",Cleveland,44130,2,5,1,Burgers;Fast Food;Restaurants;Hot Dogs
101,"""Panda Express""","""4416 E Bonanza Blvd""",Las Vegas,89110,3,14,1,Chinese;Fast Food;Restaurants
102,"""KFC""","""156 The Queensway""",Etobicoke,M8Y 1J2,2,6,1,Restaurants;Chicken Wings;Fast Food
103,"""Firehouse Subs""","""1616 S Stapely Dr, Ste 101""",Mesa,85204,3.5,33,1,Fast Food;Delis;Sandwiches;Restaurants
104,"""Wendy's""","""414 S Highway 27""",Stanley,28164,2,8,1,Restaurants;Burgers;Fast Food
105,"""McCarold's""","""5400 Chemin de la Côte-des-Neiges""",Montréal,H3T 1Y5,3.5,50,1,Bars;Nightlife;Burgers;Irish;Beer;Wine & Spirits;Pubs;Food;Irish Pub;Restaurants
106,"""A&W""","""6411 Rue Saint-Hubert""",Montréal,H2S 2L9,1,3,1,Burgers;Breakfast & Brunch;Restaurants;Fast Food
107,"""Delicia's Latina's""","""""",Las Vegas,,3,4,1,Restaurants;Cuban;Mexican;Food;Food Trucks
108,"""Big Bite Gourmet Burgers""","""1822 Whites Road""",Pickering,L1V 4M1,4,7,1,Restaurants;Fast Food;Burgers;Food
109,"""Herbie West End""","""7 William Street""",Edinburgh,EH3 7NG,4,5,1,Food;Coffee & Tea;Sandwiches;Delis;Restaurants
110,"""Chick-fil-A""","""7000 E Mayo Blvd""",Phoenix,85054,3.5,75,1,Event Planning & Services;Caterers;Restaurants;Fast Food
111,"""Coffee Bean Cafe""","""15400 Hurontario Street""",Inglewood,L7C 2C3,3.5,9,1,Coffee & Tea;Breakfast & Brunch;Food;Restaurants;American (New)
112,"""Nothing But Noodles""","""1605 Elizabeth Ave""",Charlotte,28204,4,75,1,Asian Fusion;Chinese;American (Traditional);Noodles;Italian;Fast Food;Salad;Food;Gluten-Free;Desserts;Restaurants
113,"""Subway""","""2-4 Shandwick Place""",Edinburgh,EH2 4SH,3.5,5,1,Restaurants;Sandwiches;Fast Food
114,"""The Carlton""","""500 Grant St""",Pittsburgh,15219,3.5,82,1,Restaurants;Steakhouses;Seafood;Diners;American (Traditional)
115,"""Gordon Biersch Brewery Restaurant""","""3987 Paradise Rd""",Las Vegas,89169,3.5,352,1,Nightlife;Breweries;Restaurants;Food;American (New);Bars
116,"""Kojax Souvlaki""","""3238 Boulevard Saint-Martin O""",Laval,H7T 1A1,4.5,3,1,Greek;Fast Food;Mediterranean;Restaurants
117,"""Raising Cane's""","""3535 W Tropicana Ave""",Las Vegas,89103,4,55,1,Restaurants;Chicken Wings;Food;Chicken Shop;Fast Food;American (Traditional)
118,"""Jimmy John's""","""1120 N Estrella Pkwy, Ste C104""",Goodyear,85338,2.5,11,1,Food Delivery Services;Food;Restaurants;Sandwiches
119,"""Freddy's Frozen Custard & Steakburgers""","""4929 W Bell Rd""",Glendale,85308,4,191,1,Diners;Ice Cream & Frozen Yogurt;Food;Restaurants;Burgers;Fast Food
120,"""Subway""","""3230 E Union Hills Dr, Ste B-125, Union Centre Shoppes""",Phoenix,85050,3.5,6,1,Sandwiches;Restaurants;Fast Food
121,"""The Royal Oak""","""304 Taunton Road E""",Whitby,L1R 3K4,3,10,1,Comfort Food;Restaurants;Pubs;Bars;British;Nightlife;Chicken Wings;Gastropubs
122,"""Freshii""","""23 College Street""",Toronto,M5G 2B3,3,34,1,Ice Cream & Frozen Yogurt;Breakfast & Brunch;Juice Bars & Smoothies;Restaurants;Food;Vegetarian
123,"""Javit's Takeaway""","""207-211 West Granton Road""",Edinburgh,EH5 1PD,4,10,1,Restaurants;Fast Food
124,"""Chick-fil-A""","""14111 Rivergate Pkwy""",Charlotte,28273,2.5,46,1,Restaurants;Fast Food;Caterers;Event Planning & Services
125,"""Baran Kebab""","""Pforzheimer Str. 363""",Stuttgart,70499,4.5,23,1,Kebab;Food;Restaurants
126,"""Arby's""","""311 S Kings Dr""",Charlotte,28204,3.5,11,1,Fast Food;Restaurants;Sandwiches;Burgers
127,"""Penn Brewery""","""800 Vinial St""",Pittsburgh,15212,3.5,201,1,German;Breweries;Restaurants;Food;Event Planning & Services;Venues & Event Spaces
128,"""Taco Bell""","""7475 Day Dr""",Parma,44129,2.5,7,1,Restaurants;Tex-Mex;Fast Food;Mexican
129,"""Snax""","""Duke St""",Edinburgh,EH6 8,3.5,3,1,Fast Food;Restaurants
130,"""Nobu""","""3570 Las Vegas Blvd S""",Las Vegas,89109,4,840,1,Sushi Bars;Japanese;Seafood;Restaurants
131,"""Pei Wei""","""20022 N 67th Ave, Ste 100""",Glendale,85308,3,125,1,Gluten-Free;Asian Fusion;Chinese;Restaurants;Fast Food
132,"""McDonalds""","""7810 Lyles Ln NW""",Concord,28027,2,9,1,Restaurants;Fast Food;Burgers
133,"""In-N-Out Burger""","""4705 S Maryland Pkwy""",Las Vegas,89119,4.5,275,1,Burgers;Restaurants;Fast Food
134,"""Dona Maria Tamales Restaurant""","""3205 N Tenaya Way""",Las Vegas,89129,3.5,242,1,Food;Desserts;Mexican;Seafood;Restaurants
135,"""Subway""","""1343 W Liberty Ave""",Pittsburgh,15226,3,3,1,Fast Food;Sandwiches;Restaurants
136,"""The Casual Pint""","""1095 West Queen Creek Rd, Ste 8""",Chandler,85248,4,68,1,Bars;Nightlife;Pubs;Beer Bar;American (Traditional);Restaurants;Beer;Wine & Spirits;Food
137,"""Pickle Jar""","""E Washington Pinckney""",Madison,53714,4,11,1,Barbeque;Restaurants;Food Trucks;Local Flavor;Food
138,"""Rôtisserie Scores""","""255 Rue de Martigny O""",Saint-Jérôme,J7Y 2G4,3.5,3,1,Canadian (New);Barbeque;Restaurants;Chicken Shop;Fast Food
139,"""tobi´s""","""Bolzstr. 7""",Stuttgart,70173,3.5,69,1,Curry Sausage;Swabian;German;Restaurants;Fast Food
140,"""KFC""","""4924 Boulder Hwy""",Las Vegas,89121,2,19,1,Restaurants;Fast Food;Chicken Wings
141,"""Pagaille Café""","""101 Rue Villeneuve O""",Montréal,H2T 2R6,4.5,18,1,Sandwiches;Cafes;Food;Juice Bars & Smoothies;Restaurants
142,"""Cafe Rio""","""1939 E Baseline Rd""",Gilbert,85233,3,242,1,Desserts;Food;Mexican;Restaurants;Salad
143,"""Desi Bar & Grill""","""925 Rathburn Road E""",Mississauga,L4W 4C3,4,62,1,Bars;Pubs;Pakistani;Event Planning & Services;DJs;Canadian (New);Halal;Indian;Delis;Restaurants;Chinese;Nightlife;Seafood;Sports Bars
144,"""Positively Frosted""","""7510 E Thomas Rd""",Scottsdale,85251,5,6,1,Desserts;Restaurants;Cupcakes;Vegan;Bakeries;Food Delivery Services;Food;Custom Cakes
145,"""Miyamoto- Epicerie Japonaise""","""382 Avenue Victoria""",Westmount,H3Z 2N4,4.5,9,1,Food;Sushi Bars;Imported Food;Specialty Food;Grocery;Ethnic Food;Restaurants
146,"""Jack in the Box""","""220 N Hoskins Rd""",Charlotte,28216,2.5,11,1,Fast Food;Restaurants
147,"""Restaurant Weinstube""","""Dormero Hotel Stuttgart, Plieninger Str. 100""",Stuttgart,70561,2,8,1,Restaurants;German;Food;Beer;Wine & Spirits
148,"""Swiss Chalet Rotisserie & Grill""","""1455 Dundas St East""",Mississauga,L4X 1L3,2.5,8,1,American (Traditional);Comfort Food;Barbeque;Restaurants
149,"""Roti King West Indian Restaurant""","""1688 Eglinton Avenue W""",York,M6E 2H5,3,4,1,Pakistani;Restaurants;Ethnic Food;Caribbean;Imported Food;Specialty Food;Middle Eastern;Indian;Food
150,"""Chopstixpress""","""2270 Keele Street""",Toronto,M6M 2P5,4,6,1,Restaurants;Chinese;Soup;Fast Food;Noodles
151,"""Panera Bread""","""19705 Center Ridge Rd""",Rocky River,44116,2.5,18,1,Salad;Bagels;Soup;Sandwiches;Food;Breakfast & Brunch;Restaurants
152,"""Kyara Japanese Tapas""","""6555 S Jones Blvd, Ste 120""",Las Vegas,89118,4,428,1,Food;Restaurants;Japanese;Tapas Bars;Desserts
153,"""The Chicken Shack""","""4950 S. Rainbow Blvd, Ste 130""",Las Vegas,89118,3.5,33,1,Restaurants;Fast Food;Chicken Wings;Chicken Shop
154,"""Tropical Smoothie Cafe""","""2435 W Hwy 160, Ste 104""",Tega Cay,29708,4,20,1,Juice Bars & Smoothies;Food;Restaurants;Cafes;Fast Food;Sandwiches
155,"""Krispy Kreme Doughnuts""","""7015 W Spring Mountain Rd""",Las Vegas,89103,3,133,1,Donuts;Cafes;Restaurants;Coffee & Tea;Food
156,"""Gabby's Bar and Grill""","""192 Bloor St. W.""",Toronto,M5S 1T8,2.5,64,1,Restaurants;Bars;American (Traditional);Beer;Wine & Spirits;Nightlife;Seafood;Food;Canadian (New)
157,"""Burger King""","""6402 S Rural Rd""",Tempe,85283,2,24,1,Restaurants;Burgers;Fast Food
158,"""The Food Shop""","""209 Augusta Avenue""",Toronto,M5T 2L4,3.5,9,1,Specialty Food;Food;Italian;Restaurants
159,"""Gyros N'at""","""512 Braddock Ave""",Pittsburgh,15104,4.5,14,1,Cafes;Restaurants;Food;Street Vendors;Food Stands;Food Trucks
160,"""Starbucks""","""2001 E Lake Mead Blvd, Ste 105""",North Las Vegas,89030,3.5,34,1,Restaurants;Food;Coffee & Tea
161,"""McDonald's""","""1 Poplar St""",Pittsburgh,15205,1.5,6,1,Restaurants;Burgers;Fast Food;Hot Dogs
162,"""asia hung""","""Leonberger Str. 98-108""",Leonberg,71229,3.5,3,1,Chinese;Asian Fusion;Fast Food;Pan Asian;Restaurants
163,"""Starbucks""","""7077 Bathurst Street""",Thornhill,L4J 2J6,3.5,12,1,Coffee & Tea;Food;Restaurants;Cafes
164,"""Burger King""","""1508 W River Rd N""",Elyria,44035,1.5,3,1,Burgers;Restaurants;Fast Food;Hot Dogs
165,"""Mcdonald's""","""150 Rue Sainte-Catherine Ouest, Suite 163 et 214""",Montréal,H2X 3Y2,1.5,6,1,Fast Food;Burgers;Coffee & Tea;Restaurants;Food
166,"""Burger King""","""3355 S Maryland Pkwy""",Las Vegas,89169,2.5,11,1,Fast Food;Burgers;Restaurants
167,"""Gino's Italian Deli""","""4606 Verona Rd""",Madison,53711,4,62,1,Restaurants;Sandwiches;Specialty Food;Grocery;Food;Pizza;Italian;Delis
168,"""The Corndog Company LV""","""5720 Centennial Center Blvd""",Las Vegas,89149,5,7,1,Food Trucks;Restaurants;Hot Dogs;Food;Street Vendors
169,"""JP Cool's Bar & Grill""","""14 N Jefferson St""",Mansfield,61854,5,4,1,Food;Nightlife;Restaurants;Beer;Wine & Spirits;Bars;American (Traditional)
170,"""Earl's Grocery""","""1609 Elizabeth Ave""",Charlotte,28204,4.5,152,1,Caterers;Restaurants;Grocery;Event Planning & Services;Beer;Wine & Spirits;Food;Specialty Food;Food Trucks;Convenience Stores;Breakfast & Brunch;Sandwiches
171,"""P.F. Chang's""","""6610 E Superstition Springs Blvd""",Mesa,85206,3.5,113,1,Gluten-Free;Restaurants;Chinese;Food;Asian Fusion
172,"""Tacos La Hidalguense""","""2635 Little Rock Rd""",Charlotte,28214,4,6,1,Mexican;Restaurants;Food;Food Trucks
173,"""Freddy's Frozen Custard & Steakburgers""","""4675 W Charleston Blvd""",Las Vegas,89102,4.5,113,1,Hot Dogs;Burgers;Fast Food;Ice Cream & Frozen Yogurt;Restaurants;Food
174,"""Le Shack du Pêcheur""","""1119 Boulevard Taschereau""",La Prairie,J5R 1W9,4.5,12,1,Restaurants;Seafood;Fish & Chips;Mediterranean
175,"""Taqueria El Pastorcito 2""","""4820 W Charleston Blvd""",Las Vegas,89146,3.5,3,1,Mexican;Food Trucks;Street Vendors;Restaurants;Food
176,"""Pokeman""","""3735 Spring Mountain Rd, Ste 206""",Las Vegas,89102,4,171,1,Hawaiian;Food;Japanese;Restaurants;Sushi Bars;Poke
177,"""Taco Bell""","""4032 William Penn Hwy""",Monroeville,15146,2,9,1,Fast Food;Mexican;Tex-Mex;Restaurants
178,"""Cala Lily Restaurant And Bar""","""500 Grandview Crossing, Ste 20""",Gibsonia,15044,4,32,1,American (New);Seafood;Bars;Lounges;Restaurants;Mediterranean;Nightlife
179,"""Boston Market""","""699 Howe Ave""",Cuyahoga Falls,44221,3,6,1,Event Planning & Services;American (Traditional);Restaurants;Comfort Food;Caterers
180,"""Pizza Hut""","""6355 N. Commerce, #101""",North Las Vegas,89031,2,45,1,Restaurants;Fast Food;Pizza
181,"""McDonald's""","""2260 Markham Rd""",Scarborough,M1B 2W4,2.5,4,1,Burgers;Restaurants;Food;Fast Food
182,"""Punjabi Dhaba""","""2855 Derry Road E""",Mississauga,L4T 1A6,4,26,1,Restaurants;Ethnic Food;Indian;Food Trucks;Specialty Food;Food
183,"""Bowl of Greens""","""16447 N Scottsdale Rd, Ste 101""",Scottsdale,85254,4,99,1,Restaurants;Food;Salad;Juice Bars & Smoothies;Middle Eastern
184,"""McDonald's""","""4435 Kingston Road""",Scarborough,M1E 2N7,2,4,1,Restaurants;Fast Food;Burgers
