,id,hotel_name,hotel_rating,amenities,address,country,price
30,31,Chateau Jasper,3.5,"Pool, Free parking, Restaurant, BarorLounge, Free High Speed Internet (WiFi), Room service, Fitness Centre with Gym or Workout Room, Banquet Room, Breakfast Available, Business Centre with Internet Access, Conference Facilities, Dry ",96 Geikie St Alberta,Canada,116.5294118
31,32,Maligne Lodge,3.5,"Pool, Free parking, Restaurant, Free High Speed Internet (WiFi), Heated pool, Hot Tub, Indoor pool, Non-smoking hotel, Pets Allowed ( Dog or Pet Friendly ), Self-Serve Laundry, Wheelchair Access, Air conditioning, Refrigerator in ",912 Connaught Dr. Alberta,Canada,145
32,33,Marmot Lodge,4,"Restaurant, Pool, Free parking, Free High Speed Internet (WiFi), BarorLounge, Breakfast Available, Heated pool, Hot Tub, Indoor pool, Laundry Service, Meeting rooms, Multilingual Staff, Non-smoking hotel, Pets Allowed ( Dog or Pe",86 Connaught Drive Alberta,Canada,116.5294118
33,34,Tonquin Inn,3.5,"Pool, Free parking, Restaurant, Free High Speed Internet (WiFi), Fitness Centre with Gym or Workout Room, Heated pool, Hot Tub, Indoor pool, Laundry Service, Multilingual Staff, Non-smoking hotel, Pets Allowed ( Dog or Pet Friendly )",100 Juniper Avenue Alberta,Canada,145
34,35,Fairmont Jasper Park Lodge,4,"Free parking, Restaurant, Room service, Fitness Centre with Gym or Workout Room, Free Internet, BarorLounge, Pool, Spa, Babysitting, Banquet Room, Breakfast Available, Business Centre with Internet Access, Children Activities (Kid ",Old Lodge Road Jasper Alberta,Canada,187
35,36,Sawridge Inn and Conference Centre Jasper,4,"Pool, Free parking, Fitness Centre with Gym or Workout Room, Room service, Restaurant, Spa, Free High Speed Internet (WiFi), BarorLounge, Banquet Room, Business Centre with Internet Access, Children Activities (Kid or Family Friendly),",76 Connaught Drive Alberta,Canada,150
36,37,Lobstick Lodge,3,"Pool, Restaurant, Free parking, Free High Speed Internet (WiFi), BarorLounge, Fitness Centre with Gym or Workout Room, Babysitting, Banquet Room, Breakfast Available, Business Centre with Internet Access, Heated pool, Hot Tub, Indo",94 Geikie St Alberta,Canada,116.5294118
37,38,Jasper Inn & Suites,4,"Free High Speed Internet (WiFi), Pool, Free parking, Restaurant, BarorLounge, Business Centre with Internet Access, Heated pool, Hot Tub, Indoor pool, Laundry Service, Meeting rooms, Multilingual Staff, Non-smoking hotel, Pets A",98 Geikie Street Alberta,Canada,116.5294118
38,39,Athabasca Hotel,3.5,"Free parking, Restaurant, BarorLounge, Free High Speed Internet (WiFi), Non-smoking hotel, Non-smoking rooms",510 Patricia St Alberta,Canada,99
39,40,Whistlers Inn,3.5,"Free parking, Restaurant, BarorLounge, Free High Speed Internet (WiFi), Hot Tub, Multilingual Staff, Non-smoking hotel, Public Wifi, Sauna, Wheelchair Access, Air conditioning, Refrigerator in room, Non-smoking rooms, Suites",105 Miette Drive Alberta,Canada,169
40,41,HI Jasper,3.5,"Free parking, Non-smoking hotel, Self-Serve Laundry, Shuttle Bus Service, Family Rooms, Kitchenette, Non-smoking rooms",1 Skytram Road Alberta,Canada,116.5294118
41,42,Astoria Hotel,2.5,"BarorLounge, Free High Speed Internet (WiFi), Restaurant, Laundry Service, Non-smoking hotel, Air conditioning, Family Rooms, Non-smoking rooms",404 Connaught Drive Alberta,Canada,90
42,43,Overlander Mountain Lodge,4,"Free parking, Restaurant, Free High Speed Internet (WiFi), BarorLounge, Breakfast Available, Non-smoking hotel, Public Wifi, Non-smoking rooms",27010 Highway 16 Alberta,Canada,116.5294118
43,44,Patricia Lake Bungalows Resort,4.5,"Free parking, Free Internet, Babysitting, Children Activities (Kid or Family Friendly), Hot Tub, Multilingual Staff, Non-smoking hotel, Pets Allowed ( Dog or Pet Friendly ), Self-Serve Laundry, Air conditioning, Microwave, Refrigerat",Pyramid Lake Road Alberta,Canada,116.5294118
44,45,The White Brick Inn,5,"Free parking, Free High Speed Internet (WiFi), Non-smoking hotel, Microwave, Refrigerator in room, Kitchenette, Non-smoking rooms, Suites",201 Geikie Street Alberta,Canada,116.5294118
45,46,Park Place Inn,4.5,"Free parking, Free High Speed Internet (WiFi), Non-smoking hotel, Public Wifi, Air conditioning, Refrigerator in room, Accessible rooms, Non-smoking rooms, Suites",623 Patricia Street Alberta,Canada,116.5294118
46,47,Pine Bungalows,4,"Free parking, Free Internet, Meeting rooms, Non-smoking hotel, Self-Serve Laundry, Refrigerator in room, Accessible rooms, Kitchenette, Non-smoking rooms",2 Cottonwood Creek Road Alberta,Canada,116.5294118
47,48,Celtic Haven,4.5,"Free parking, Free High Speed Internet (WiFi), Non-smoking hotel, Refrigerator in room, Non-smoking rooms",916 Bonhomme Street Alberta,Canada,116.5294118
48,49,B&B on Balsam,4.5,"Free High Speed Internet (WiFi), Free parking, Children Activities (Kid or Family Friendly), Non-smoking hotel, Non-smoking rooms",311 Balsam Ave Alberta,Canada,116.5294118
49,50,105 Patricia Street Accommodation,4.5,"Free parking, Free High Speed Internet (WiFi), Non-smoking hotel, Refrigerator in room, Kitchenette, Non-smoking rooms",105 Patricia Street Alberta,Canada,116.5294118
50,51,HI-Beauty Creek Wilderness Hostel,4.5,"Free parking, Children Activities (Kid or Family Friendly), Wheelchair Access, Refrigerator in room",Hwy 93 North Alberta,Canada,116.5294118
51,52,HI-Maligne Canyon Wilderness Hostel,4,Free parking,Maligne Lake Road Alberta,Canada,116.5294118
52,53,Alpine Manor,4.5,"Free High Speed Internet (WiFi), Kitchenette",723 Patricia Street Alberta,Canada,116.5294118
53,54,804 Miette Guest House,4,"Free parking, Free High Speed Internet (WiFi), Laundry Service, Non-smoking hotel, Public Wifi, Air conditioning, Non-smoking rooms",804 Miette Avenue Alberta,Canada,116.5294118
54,55,Doe a Deer Accommodation,4.5,"Free High Speed Internet (WiFi), Pool, Free parking, Non-smoking hotel, Pets Allowed ( Dog or Pet Friendly ), Microwave, Refrigerator in room, Family Rooms, Kitchenette",400 Pyramid Lake Road Alberta,Canada,116.5294118
55,56,Blue Moose Inn,4,"Free High Speed Internet (WiFi), Pets Allowed ( Dog or Pet Friendly ), Refrigerator in room",909 Pyramid Lake Road Alberta,Canada,116.5294118
56,57,Cabin Creek Jasper,4,"Free High Speed Internet (WiFi), Golf Course, Non-smoking hotel, Public Wifi, Refrigerator in room, Non-smoking rooms",1220 Cabin Creek Drive Alberta,Canada,116.5294118
57,58,Calla's Palace,2.5,"Free parking, Free High Speed Internet (WiFi), Non-smoking hotel",717 Geikie St Alberta,Canada,116.5294118
58,59,Caruso's Accommodation,2.5,"Free High Speed Internet (WiFi), Non-smoking hotel, Microwave, Refrigerator in room",719 Geikie Street Alberta,Canada,116.5294118
59,60,Belles Mountain Chalet,4.5,"Free High Speed Internet (WiFi), Kitchenette",116 Geikie Street Alberta,Canada,116.5294118
60,61,A&A Accommodation,4,"Free parking, Non-smoking hotel, Refrigerator in room, Kitchenette, Non-smoking rooms",110 Conaught Drive Alberta,Canada,116.5294118
61,62,Jasper Mountain Suites,4,"Free High Speed Internet (WiFi), Pool, Free parking, BarorLounge, Non-smoking hotel, Public Wifi, Minibar, Refrigerator in room, Kitchenette, Non-smoking rooms",226 Colin Crescent ,Canada,116.5294118
62,63,Rainees Rooms B&B,4.5,Public Wifi,6 Aspen Crescent ,Canada,116.5294118
63,64,Angela's Accommodation B&B,4,"Free High Speed Internet (WiFi), Refrigerator in room",19 Patricia Circle Alberta,Canada,116.5294118
64,65,Greenwood Lodge,4.5,"Free High Speed Internet (WiFi), Free parking, Non-smoking hotel, Microwave, Refrigerator in room, Family Rooms, Kitchenette",104 Geikie Street Alberta,Canada,116.5294118
65,66,Best Western Pocaterra Inn,4.5,"Pool, Free parking, Free High Speed Internet (WiFi), Fitness Centre with Gym or Workout Room, Breakfast included, Spa, Banquet Room, Business Centre with Internet Access, Children Activities (Kid or Family Friendly), Conference Facilitie",1725 Bow Valley Trail Canmore Alberta,Canada,109
66,67,Super 8 by Wyndham Canmore,5,"Free parking, Free High Speed Internet (WiFi), Breakfast included, Fitness Centre with Gym or Workout Room, Business Centre with Internet Access, Laundry Service, Meeting rooms, Non-smoking hotel, Wheelchair Access, Air conditioning, ",1506 Bow Valley Trail Canmore Alberta,Canada,98
67,68,Stoneridge Mountain Resort by CLIQUE,4.5,"Pool, Fitness Centre with Gym or Workout Room, Free parking, Free High Speed Internet (WiFi), Banquet Room, Business Centre with Internet Access, Heated pool, Hot Tub, Laundry Service, Meeting rooms, Multilingual Staff, Non-smoking ",30 Lincoln Park Canmore Alberta,Canada,156
68,69,Silver Creek Lodge,4,"Free parking, Restaurant, Fitness Centre with Gym or Workout Room, Free High Speed Internet (WiFi), BarorLounge, Spa, Hot Tub, Laundry Service, Meeting rooms, Multilingual Staff, Non-smoking hotel, Pets Allowed ( Dog or Pet Friendly )",1818 Mountain Ave Canmore Alberta,Canada,109
69,70,Copperstone Resort by CLIQUE,4.5,"Free High Speed Internet (WiFi), Fitness Centre with Gym or Workout Room, Free parking, Dry Cleaning, Hot Tub, Laundry Service, Multilingual Staff, Non-smoking hotel, Pets Allowed ( Dog or Pet Friendly ), Self-Serve Laundry, Wheelchair",250 2 Ave Alberta,Canada,116.5294118
70,71,Lady Macdonald Country Inn,4.5,"Free parking, Free High Speed Internet (WiFi), Breakfast included, Golf Course, Non-smoking hotel, Public Wifi, Wheelchair Access, Air conditioning, Accessible rooms, Family Rooms, Non-smoking rooms",1201 Bow Valley Trail Canmore Alberta,Canada,160
71,72,Creekside Villa,4.5,"Free parking, Free High Speed Internet (WiFi), Breakfast included, Meeting rooms, Non-smoking hotel, Public Wifi, Air conditioning, Refrigerator in room, Non-smoking rooms, Suites",709 Benchlands Trail Canmore Alberta,Canada,131
72,73,Rundle Cliffs Luxury Mountain Lodge,4.5,"Fitness Centre with Gym or Workout Room, Free parking, Free High Speed Internet (WiFi), Golf Course, Hot Tub, Non-smoking hotel, Self-Serve Laundry, Wheelchair Access, Air conditioning, Microwave, Refrigerator in room, Family Rooms",375 Spring Creek Dr Canmore Alberta,Canada,116.5294118
73,74,The Howling Wolf Bed & Breakfast,5,"Free parking, Free High Speed Internet (WiFi), Breakfast included, Golf Course, Laundry Service, Non-smoking hotel, Pets Allowed ( Dog or Pet Friendly ), Sauna, Refrigerator in room, Non-smoking rooms",506 2 St Canmore Alberta,Canada,155
74,75,A Bear and Bison Canadian Country Inn,5,"Free parking, Restaurant, Free High Speed Internet (WiFi), Breakfast included, Hot Tub, Non-smoking hotel, Public Wifi, Air conditioning, Accessible rooms, Family Rooms, Non-smoking rooms",705 Benchlands Trail Canmore Alberta,Canada,182
75,76,Quality Resort Chateau Canmore,3,"Pool, Free parking, Free High Speed Internet (WiFi), BarorLounge, Fitness Centre with Gym or Workout Room, Banquet Room, Conference Facilities, Golf Course, Heated pool, Indoor pool, Laundry Service, Meeting rooms, Multilingual Sta",1718 Bow Valley Trail Canmore Alberta,Canada,116.5294118
76,77,Grande Rockies Resort - Bellstar Hotels & Resorts,3.5,"Pool, Fitness Centre with Gym or Workout Room, Free parking, Free High Speed Internet (WiFi), Banquet Room, Business Centre with Internet Access, Conference Facilities, Heated pool, Hot Tub, Indoor pool, Meeting rooms, Multilingual ",901 Mountain St Canmore Alberta,Canada,116.5294118
77,78,Days Inn by Wyndham Canmore,4,"Free parking, Free High Speed Internet (WiFi), Restaurant, Fitness Centre with Gym or Workout Room, Breakfast included, Breakfast Available, Multilingual Staff, Non-smoking hotel, Pets Allowed ( Dog or Pet Friendly ), Public Wifi, Air ",1602 2 Ave Canmore Alberta,Canada,99
78,79,Basecamp Lodge,4,"Free parking, Free High Speed Internet (WiFi), Breakfast included, Concierge, Conference Facilities, Non-smoking hotel, Public Wifi, Air conditioning, Refrigerator in room, Non-smoking rooms",1002 Bow Valley Trail Canmore Alberta,Canada,89
79,80,Basecamp Resorts,4,"Free parking, Free High Speed Internet (WiFi), Hot Tub, Multilingual Staff, Non-smoking hotel, Self-Serve Laundry, Microwave, Refrigerator in room, Family Rooms, Kitchenette, Non-smoking rooms, Suites",1102 Bow Valley Trail Canmore Alberta,Canada,107
80,81,The Lodges at Canmore,3.5,"Pool, Free parking, Free High Speed Internet (WiFi), Fitness Centre with Gym or Workout Room, Heated pool, Hot Tub, Laundry Service, Non-smoking hotel, Outdoor pool, Pets Allowed ( Dog or Pet Friendly ), Self-Serve Laundry, Wheelchai",107 Montane Rd Canmore Alberta,Canada,104
81,82,HI-CanmoreorAlpine Club of Canada,4.5,"Free parking, Free High Speed Internet (WiFi), Laundry Service, Meeting rooms, Non-smoking hotel, Microwave, Refrigerator in room, Kitchenette, Non-smoking rooms, Suites",201 Indian Flats Road Canmore Alberta,Canada,450
82,83,Canadian Rockies Chalets,3.5,"Free parking, Free High Speed Internet (WiFi), Hot Tub, Non-smoking hotel, Pets Allowed ( Dog or Pet Friendly ), Microwave, Family Rooms, Kitchenette, Non-smoking rooms, Suites",1206 Bow Valley Trail Canmore Alberta,Canada,116.5294118
83,84,Mystic Springs Chalets & Hot Pools,4,"Pool, Free parking, Free High Speed Internet (WiFi), Spa, Banquet Room, Business Centre with Internet Access, Children Activities (Kid or Family Friendly), Concierge, Heated pool, Hot Tub, Laundry Service, Meeting rooms, Non-smoki",140 Kananaskis Way Canmore Alberta,Canada,116.5294118
84,85,Solara Resort & Spa - Bellstar Hotels & Resorts,4,"Free parking, Free High Speed Internet (WiFi), Fitness Centre with Gym or Workout Room, Pool, Spa, Banquet Room, Business Centre with Internet Access, Children Activities (Kid or Family Friendly), Heated pool, Hot Tub, Indoor pool, L",187 Kananaskis Way Canmore Alberta,Canada,116.5294118
85,86,Georgetown Inn,4.5,"Free parking, Restaurant, Free High Speed Internet (WiFi), BarorLounge, Multilingual Staff, Non-smoking hotel, Pets Allowed ( Dog or Pet Friendly ), Wheelchair Access, Air conditioning, Non-smoking rooms, Suites",1101 Bow Valley Trail Canmore Alberta,Canada,116.5294118
86,87,Lamphouse Hotel,4.5,"Free parking, Free High Speed Internet (WiFi), Laundry Service, Multilingual Staff, Non-smoking hotel, Public Wifi, Air conditioning, Refrigerator in room, Non-smoking rooms",610 8th Street Canmore Alberta,Canada,98
87,88,Canmore Inn & Suites,3.5,"Pool, Free parking, Free High Speed Internet (WiFi), Fitness Centre with Gym or Workout Room, Banquet Room, Business Centre with Internet Access, Conference Facilities, Heated pool, Hot Tub, Indoor pool, Laundry Service, Meeting roo",1402 Bow Valley Trail Canmore Alberta,Canada,80
88,89,Canmore Rocky Mountain Inn,4,"Free parking, Free High Speed Internet (WiFi), Breakfast included, Laundry Service, Non-smoking hotel, Public Wifi, Sauna, Air conditioning, Microwave, Refrigerator in room, Family Rooms, Non-smoking rooms",1719 Bow Valley Trail Canmore Alberta,Canada,85
89,90,The Malcolm Hotel by Clique,4.5,"Pool, Restaurant, BarorLounge, Free High Speed Internet (WiFi), Free parking, Fitness Centre with Gym or Workout Room, Banquet Room, Breakfast Available, Business Centre with Internet Access, Conference Facilities, Hot Tub, Meeting r",321 Spring Creek Dr Canmore Alberta,Canada,136
90,91,Windtower Lodge & Suites,3.5,"Fitness Centre with Gym or Workout Room, Free High Speed Internet (WiFi), Restaurant, BarorLounge, Breakfast included, Banquet Room, Conference Facilities, Hot Tub, Laundry Service, Meeting rooms, Multilingual Staff, Non-smoking hote",Wind Tower 100-160 Kananaskis Way Canmore Alberta,Canada,89
91,92,Mountain View Inn,3,"Free parking, Free High Speed Internet (WiFi), Non-smoking hotel, Public Wifi, Air conditioning, Accessible rooms, Non-smoking rooms",100 Kananaskis Way Canmore Alberta,Canada,116.5294118
92,93,Fire Mountain Lodge,3.5,"Free parking, Free High Speed Internet (WiFi), Fitness Centre with Gym or Workout Room, Concierge, Dry Cleaning, Hot Tub, Laundry Service, Non-smoking hotel, Pets Allowed ( Dog or Pet Friendly ), Self-Serve Laundry, Air conditioning, ",121 Kananaskis Way Canmore Alberta,Canada,116.5294118
93,94,Rundle Mountain Lodge,2.5,"Pool, Free parking, Free High Speed Internet (WiFi), Hot Tub, Indoor pool, Laundry Service, Non-smoking hotel, Pets Allowed ( Dog or Pet Friendly ), Air conditioning, Microwave, Refrigerator in room, Kitchenette, Non-smoking rooms",1723 Bow Valley Trail Canmore Alberta,Canada,116.5294118
94,95,Big Horn Motel,2.5,"Free parking, Free High Speed Internet (WiFi), Non-smoking hotel, Pets Allowed ( Dog or Pet Friendly ), Public Wifi, Refrigerator in room, Accessible rooms, Non-smoking rooms",#1 - Trans Canada Highway at Deadman's Flat Alberta,Canada,60
95,96,Inn of the Rockies,3.5,"Free parking, Pool, Free High Speed Internet (WiFi), Fitness Centre with Gym or Workout Room, Hot Tub, Indoor pool, Laundry Service, Multilingual Staff, Non-smoking hotel, Public Wifi, Sauna, Self-Serve Laundry, Air conditioning,",1200 Harvie Heights Rd Canmore Alberta,Canada,169
96,97,WorldMark Canmore-Banff,4.5,"Pool, Fitness Centre with Gym or Workout Room, Free parking, Business Centre with Internet Access, Children Activities (Kid or Family Friendly), Heated pool, Hot Tub, Laundry Service, Meeting rooms, Non-smoking hotel, Outdoor pool, P",91 Three Sisters Dr Canmore Alberta,Canada,116.5294118
97,98,Paintbox Lodge,5,"Free parking, Free High Speed Internet (WiFi), Breakfast included, Non-smoking hotel, Refrigerator in room, Family Rooms, Non-smoking rooms, Suites",629 10 St Canmore Alberta,Canada,116.5294118
98,99,Banff Gate Mountain Resort,3.5,"Pool, Free parking, Free High Speed Internet (WiFi), Fitness Centre with Gym or Workout Room, Banquet Room, Business Centre with Internet Access, Children Activities (Kid or Family Friendly), Heated pool, Hot Tub, Indoor pool, Laundry ",302 George Biggy Sr Rd Alberta,Canada,116.5294118
99,100,Sunset Resorts Canmore,3.5,"Free parking, Free High Speed Internet (WiFi), Fitness Centre with Gym or Workout Room, Laundry Service, Non-smoking hotel, Self-Serve Laundry, Wheelchair Access, Microwave, Family Rooms, Kitchenette, Non-smoking rooms, Suites",109-1151 Sidney St Canmore Alberta,Canada,116.5294118
100,101,The Summit at Grande Rockies,4,"Free parking, Free High Speed Internet (WiFi), Fitness Centre with Gym or Workout Room, Pool, Restaurant, BarorLounge, Spa, Children Activities (Kid or Family Friendly), Hot Tub, Indoor pool, Non-smoking hotel, Self-Serve Laundry, A",901 Mountain St 4th Floor Canmore Alberta,Canada,116.5294118
101,102,Canmore Crossing,4,"Free parking, Fitness Centre with Gym or Workout Room, Children Activities (Kid or Family Friendly), Non-smoking hotel, Pets Allowed ( Dog or Pet Friendly ), Self-Serve Laundry, Kitchenette, Non-smoking rooms, Suites",1120 Railway Ave Canmore Alberta,Canada,116.5294118
